audio_file,detected_events,threshold_used,timestamp,param_min_swallow_duration,param_max_swallow_duration,param_min_event_separation,param_energy_percentile,param_adaptive_threshold,param_min_prominence,param_smoothing_sigma,param_boundary_method,param_energy_drop_threshold,param_merge_close_events,param_min_silence_duration,expected_swallows,group,volume_ml,accuracy_error
GC-F10-10ml.wav,2,0.017607672,11:00.8,0.05,4,0.5,48,True,0.025,5,energy_based,0.3,True,0.1,2,Control,10,0
GC-F10-20ml.wav,2,0.009318492,11:30.5,0.05,4,0.5,56,True,0.025,2,energy_based,0.3,True,0.1,2,Control,20,0
GC-F10-3ml.wav,1,0.01581087,14:06.1,0.05,4,0.2,60,True,0.002,3,energy_based,0.4,True,0.1,1,Control,3,0
GC-F10-50ml.wav,5,0.02752657,17:44.3,0.05,4,0.5,89,True,0.026,2,energy_based,0.1,True,0.1,5,Control,50,0
GC-F10-5ml.wav,1,0.03368838,18:03.0,0.05,4,0.5,68,True,0.026,2,silence_based,0.3,True,0.1,1,Control,5,0
GC-F11-10ml.wav,1,0.06515556,17:58.5,0.05,4,0.5,62,True,0.007,4,energy_based,0.4,True,0.1,1,Control,10,0
GC-F11-20ml.wav,1,0.043275166,19:03.2,0.05,4,0.5,77,True,0.001,5,energy_based,0.6,True,0.1,1,Control,20,0
GC-F11-3ml.wav,1,0.067786284,19:15.4,0.05,4,0.5,77,True,0.001,5,energy_based,0.6,True,0.1,1,Control,3,0
GC-F11-50ml.wav,6,0.029611858,33:50.1,0.25,4,0.3,82,True,0.067,4,energy_based,0.1,True,0.1,6,Control,50,0
GC-F11-5ml.wav,1,0.019340223,41:21.6,0.25,4,0.3,59,True,0.049,3,energy_based,0.1,True,0.1,1,Control,5,0
GC-F12-10ml.wav,2,0.03353029,00:45.3,0.05,3,0.1,74,True,0.035,4,silence_based,0.1,True,0.1,2,Control,10,0
GC-F12-20ml.wav,1,0.03188535,53:25.5,0.25,4,0.5,68,True,0.053,3,energy_based,0.2,True,0.1,1,Control,20,0
GC-F12-3ml.wav,1,0.062990114,30:34.8,0.05,4.5,0.5,86,True,0.001,1,silence_based,0.3,True,0.1,1,Control,3,0
GC-F12-50ml.wav,5,0.019789444,32:16.0,0.1,2,0.2,85,True,0.021,2,energy_based,0.3,True,0.1,4,Control,50,1
GC-F12-5ml.wav,1,0.007308474,32:16.2,0.1,2,0.3,63,True,0.001,3,silence_based,0.3,True,0.1,1,Control,5,0
GC-F13-10ml.wav,1,0.013945568,32:16.4,0.1,2,0.3,69,True,0.007,4,silence_based,0.3,True,0.1,1,Control,10,0
GC-F13-20ml.wav,1,0.007279958,32:16.6,0.1,2,0.3,69,True,0.007,4,silence_based,0.3,True,0.1,1,Control,20,0
GC-F13-3ml.wav,1,0.021293798,32:16.7,0.1,2,0.3,69,True,0.015,4,energy_based,0.4,True,0.1,1,Control,3,0
GC-F13-50ml.wav,4,0.004008791,32:21.9,0.05,3,0.3,56,True,0.001,5,energy_based,0.5,True,0.1,4,Control,50,0
GC-F13-5ml.wav,1,0.007523559,32:22.1,0.05,3,0.3,56,True,0.001,5,energy_based,0.5,True,0.1,1,Control,5,0
GC-F14-10ml.wav,1,0.037985094,32:22.2,0.05,3,0.3,64,True,0.001,5,energy_based,0.5,True,0.1,1,Control,10,0
GC-F14-20ml.wav,2,0.03418589,32:22.6,0.05,3,0.3,79,True,0.023,2,silence_based,0.5,True,0.1,2,Control,20,0
GC-F14-3ml.wav,1,0.062916815,32:22.7,0.05,3,0.3,79,True,0.023,2,energy_based,0.7,True,0.1,1,Control,3,0
GC-F14-50ml.wav,2,0.0271312,32:22.8,0.05,3,0.3,90,True,0.07,2,energy_based,0.1,True,0.1,2,Control,50,0
GC-F14-5ml.wav,1,0.054233264,07:43.2,0.05,3,0.3,90,True,0.07,2,silence_based,0.4,True,0.1,1,Control,5,0
GC-F15-10ml.wav,1,0.07902784,07:43.4,0.05,3,0.3,90,True,0.062,2,energy_based,0.2,True,0.1,1,Control,10,0
GC-F15-20ml.wav,1,0.016409006,07:43.6,0.05,3,0.3,75,True,0.001,3,energy_based,0.6,True,0.1,1,Control,20,0
GC-F15-3ml.wav,1,0.031180305,07:43.8,0.05,3,0.3,68,True,0.01,3,energy_based,0.6,True,0.1,1,Control,3,0
GC-F15-50ml.wav,6,0.00586432,07:44.0,0.05,3,0.3,55,True,0.017,3,silence_based,0.1,True,0.1,6,Control,50,0
GC-F15-5ml.wav,1,0.056189846,07:44.1,0.05,3,0.3,63,True,0.041,4,energy_based,0.4,True,0.1,1,Control,5,0
GC-F16-10ml.wav,1,0.01246265,07:44.3,0.05,3,0.3,59,True,0.021,1,energy_based,0.3,True,0.1,1,Control,10,0
