File Path,Filename,Frame Size,Hop Size,Dynamic Threshold (First 10 Values)
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-F10-10ml.wav,GC-F10-10ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-F10-20ml.wav,GC-F10-20ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-F10-3ml.wav,GC-F10-3ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-F10-50ml.wav,GC-F10-50ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-F10-5ml.wav,GC-F10-5ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-F11-10ml.wav,GC-F11-10ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-F11-20ml.wav,GC-F11-20ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-F11-3ml.wav,GC-F11-3ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-F11-50ml.wav,GC-F11-50ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-F11-5ml.wav,GC-F11-5ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-F12-10ml.wav,GC-F12-10ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-F12-20ml.wav,GC-F12-20ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-F12-3ml.wav,GC-F12-3ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-F12-50ml.wav,GC-F12-50ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-F12-5ml.wav,GC-F12-5ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-F13-10ml.wav,GC-F13-10ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-F13-20ml.wav,GC-F13-20ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-F13-3ml.wav,GC-F13-3ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-F13-50ml.wav,GC-F13-50ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-F13-5ml.wav,GC-F13-5ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-F14-10ml.wav,GC-F14-10ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-F14-20ml.wav,GC-F14-20ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-F14-3ml.wav,GC-F14-3ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-F14-50ml.wav,GC-F14-50ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-F14-5ml.wav,GC-F14-5ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-F15-10ml.wav,GC-F15-10ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-F15-20ml.wav,GC-F15-20ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-F15-3ml.wav,GC-F15-3ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-F15-50ml.wav,GC-F15-50ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-F15-5ml.wav,GC-F15-5ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-F16-10ml.wav,GC-F16-10ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-F16-20ml.wav,GC-F16-20ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-F16-3ml.wav,GC-F16-3ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-F16-50ml.wav,GC-F16-50ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-F16-5ml.wav,GC-F16-5ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-F17-10ml.wav,GC-F17-10ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-F17-20ml.wav,GC-F17-20ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-F17-3ml.wav,GC-F17-3ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-F17-50ml.wav,GC-F17-50ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-F17-5ml.wav,GC-F17-5ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-F18-10ml.wav,GC-F18-10ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-F18-20ml.wav,GC-F18-20ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-F18-3ml.wav,GC-F18-3ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-F18-50ml.wav,GC-F18-50ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-F18-5ml.wav,GC-F18-5ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-F5-10ml.wav,GC-F5-10ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-F5-20ml.wav,GC-F5-20ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-F5-3ml.wav,GC-F5-3ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-F5-50ml.wav,GC-F5-50ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-F5-5ml.wav,GC-F5-5ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-F7-10ml.wav,GC-F7-10ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-F7-20ml.wav,GC-F7-20ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-F7-3ml.wav,GC-F7-3ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-F7-50ml.wav,GC-F7-50ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-F7-5ml.wav,GC-F7-5ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-F8-10ml.wav,GC-F8-10ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-F8-20ml.wav,GC-F8-20ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-F8-3ml.wav,GC-F8-3ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-F8-50ml.wav,GC-F8-50ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-F8-5ml.wav,GC-F8-5ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-F9-10ml.wav,GC-F9-10ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-F9-20ml.wav,GC-F9-20ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-F9-3ml.wav,GC-F9-3ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-F9-50ml.wav,GC-F9-50ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-F9-5ml.wav,GC-F9-5ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-M6-10ml.wav,GC-M6-10ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-M6-20ml.wav,GC-M6-20ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-M6-3ml.wav,GC-M6-3ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-M6-50ML.wav,GC-M6-50ML.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC-M6-5ml.wav,GC-M6-5ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC_F1-10ml.wav,GC_F1-10ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC_F1-20ml.wav,GC_F1-20ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC_F1-3ml.wav,GC_F1-3ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC_F1-50ml.wav,GC_F1-50ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC_F1-5ml.wav,GC_F1-5ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC_F2_10ML.wav,GC_F2_10ML.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC_F2_20Ml.wav,GC_F2_20Ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC_F2_3Ml.wav,GC_F2_3Ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC_F2_50ML.wav,GC_F2_50ML.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GC_F2_5ml.wav,GC_F2_5ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GE-M1-3ml-S.wav,GE-M1-3ml-S.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GE-M1-3ml.wav,GE-M1-3ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GE_F1-10ML.wav,GE_F1-10ML.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GE_F1_3ML - S.wav,GE_F1_3ML - S.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GE_F1_3ML - SGE_F1_3ML - S.wav,GE_F1_3ML - SGE_F1_3ML - S.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GE_F1_3ML - S_pre.wav,GE_F1_3ML - S_pre.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GE_F1_3ML.wav,GE_F1_3ML.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GE_F1_5ML.wav,GE_F1_5ML.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GE_M1-20ml.wav,GE_M1-20ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GE_M1_10ml.wav,GE_M1_10ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
C:\Users\Teresa\Desktop\MBBAS (2ºano)\Tese\Audio_samples\GE_M1_5ml.wav,GE_M1_5ml.wav,200,40,"[0.00595495 0.00593077 0.00590672 0.00588301 0.00585968 0.0058365
 0.00581352 0.00579054 0.00576766 0.00574488]"
